app_name,review_text,rating,review_date,sentiment,clean_text,word_count,review_month
Amazon Shopping,nice app,5,2025-11-24 18:36:34,1,nice app,2,2025-11
Amazon Shopping,"never use this app all the agents are scammer and if you will ever face a problem then know your problem won't be solved, bunches of scammer",1,2025-11-24 18:36:18,0,never use app agent scammer ever face problem know problem solved bunch scammer,13,2025-11
Amazon Shopping,Worst it doesn't work at crt time,1,2025-11-24 18:33:12,0,worst work crt time,4,2025-11
Amazon Shopping,wow,5,2025-11-24 18:32:44,1,wow,1,2025-11
Amazon Shopping,I hate you amazon,1,2025-11-24 18:21:52,0,hate amazon,2,2025-11
Amazon Shopping,managing this app is getting worse,1,2025-11-24 18:19:02,0,managing app getting worse,4,2025-11
Amazon Shopping,"“I’m seriously frustrated with this app. I got the wrong item twice, even in replacement. If sellers can’t send the correct product, fix the system or remove them.”",1,2025-11-24 18:06:44,0,seriously frustrated app got wrong item twice even replacement seller send correct product fix system remove,16,2025-11
Amazon Shopping,I like amazing,5,2025-11-24 18:05:13,1,like amazing,2,2025-11
Amazon Shopping,good,5,2025-11-24 18:01:02,1,good,1,2025-11
Amazon Shopping,good,5,2025-11-24 18:00:52,1,good,1,2025-11
Amazon Shopping,apart from hdfc bank they dont accept any other credit card i want to purchase nescafe sunrise 1kg but no option for icici bank credit card only hdfc is accepted on all products or amazon pay,1,2025-11-24 17:57:30,0,apart hdfc bank dont accept credit card want purchase nescafe sunrise option icici bank credit card hdfc accepted product amazon pay,21,2025-11
Amazon Shopping,"Not given services properly, customer care also not reachable",1,2025-11-24 17:49:58,0,given service properly customer care also reachable,7,2025-11
Amazon Shopping,good,5,2025-11-24 17:46:38,1,good,1,2025-11
Amazon Shopping,"customer service is getting worse day by day, there is no option to connect with customer care, amazon is not useful now",1,2025-11-24 17:43:27,0,customer service getting worse day day option connect customer care amazon useful,12,2025-11
Amazon Shopping,not cash on delivery 😔😔,5,2025-11-24 17:39:21,1,cash delivery,2,2025-11
Amazon Shopping,"I ordered twice from this app and both the times the delivery man was not picking the call, they give service number which keeps on showing busy . I would prefer other apps like flipkart which value their customers time",1,2025-11-24 17:34:44,0,ordered twice app time delivery man picking call give service number keep showing busy would prefer apps like flipkart value customer time,22,2025-11
Amazon Shopping,"Don't order the product using a prepaid method. Two weeks ago, I ordered one product, and after some time, the status suddenly showed that the product was delivered. I never received the product. When I reached out to Amazon customer support, they told me they were unable to help me with this issue. In this way, I lost my money to Amazon without getting anything in return.",1,2025-11-24 17:30:26,0,order product using prepaid method two week ago ordered one product time status suddenly showed product delivered never received product reached amazon customer support told unable help issue way lost money amazon without getting anything return,36,2025-11
Amazon Shopping,fake platform. not refund long time maxim 20 days refund installation,1,2025-11-24 17:19:13,0,fake platform refund long time maxim day refund installation,9,2025-11
Amazon Shopping,improve,5,2025-11-24 17:18:01,1,improve,1,2025-11
Amazon Shopping,very bad service of amazon for regarding of product return no specialist team have the answer they cut the chat.what the use of prime membership,1,2025-11-24 17:05:40,0,bad service amazon regarding product return specialist team answer cut chat use prime membership,14,2025-11
Amazon Shopping,very very very bad product .alla are fake . cheap 😡,1,2025-11-24 17:05:19,0,bad product alla fake cheap,5,2025-11
Amazon Shopping,good shop quality nice,4,2025-11-24 16:52:36,1,good shop quality nice,4,2025-11
Amazon Shopping,"Worst service. It showed delivery today, but it was not delivered and there are no updates.",1,2025-11-24 16:44:49,0,worst service showed delivery today delivered update,7,2025-11
Amazon Shopping,This is a pathetic app. They don't give any option to contact customer service agent...... i have been waiting for my parcel since morning... wanted to contact delivery agent but they didn't provide his contact number. They just give tension to their customers nothing else.,2,2025-11-24 16:41:32,0,pathetic app give option contact customer service agent waiting parcel since morning wanted contact delivery agent provide contact number give tension customer nothing else,24,2025-11
Amazon Shopping,Contacting to the amazon customer care is more difficult and getting worse day by day.,1,2025-11-24 16:24:47,0,contacting amazon customer care difficult getting worse day day,9,2025-11
Amazon Shopping,"Pathetic Customer Service,Pathetic delivery attempts on office address and Pathetic response from social media escalation as well...at the end there is no one to resolve my issue from last few year's.So whoever doing order in Hiranandani Estate Thane in that zone please don't put order as they have Pathetic delivery issues in that area. And their customer service team just putting calls on hold for long time so that u will frustrate and leave the topic.",1,2025-11-24 16:22:23,0,pathetic customer service pathetic delivery attempt office address pathetic response social medium escalation well end one resolve issue last year whoever order hiranandani estate thane zone please put order pathetic delivery issue area customer service team putting call hold long time frustrate leave topic,44,2025-11
Amazon Shopping,సూపర్ పవర్ ఫుల్ ఆప్,5,2025-11-24 16:08:38,1,,0,2025-11
Amazon Shopping,very very bad customer service... cant find a help number that is working..,1,2025-11-24 16:01:22,0,bad customer service cant find help number working,8,2025-11
Amazon Shopping,I am the oldest customer but now facing lot of issues from renowned amazon organization.. either I receive torn food packets or missing products everytime I buy. I have to think twice when I buy ... Don't know what happened to amazon. if you are not taking these matters seriously then what will happen to old customers... Top of that customer care number is not working . I press 1 then no response onto my mobile . You should do something .,1,2025-11-24 15:47:33,0,oldest customer facing lot issue renowned amazon organization either receive torn food packet missing product everytime buy think twice buy know happened amazon taking matter seriously happen old customer top customer care number working press response onto mobile something,39,2025-11
Amazon Shopping,superb,5,2025-11-24 15:40:14,1,superb,1,2025-11
Amazon Shopping,"Just deleted a good review I wrote to amazon cause it was the biggest mistake. this is the worst app when it comes to delivering items especially from Amazon fresh. I have ordered twice but failed to get delivered both times. I belong to city area but now living in a village because of some circumstances, I thought flipkart amazon would work here as they show serviceable to my pincode unlike zomato Swiggy. so I tried flipkart groceries but they clearly mention no service continue......",2,2025-11-24 15:39:47,0,deleted good review wrote amazon cause biggest mistake worst app come delivering item especially amazon fresh ordered twice failed get delivered time belong city area living village circumstance thought flipkart amazon would work show serviceable pincode unlike zomato swiggy tried flipkart grocery clearly mention service continue,46,2025-11
Amazon Shopping,"amazon used to be a great service. now they are the worst. If you have any issue with a product, it is impossible to contact customer support. Their help topics and videos mention a ""Chat with us"" or "" Get a call"" but the buttons/ links for these simply don't exist, neither on the app, nor on their website. Rufus is a joke and isn't intended for troubleshooting, I suspect. They have partnered with delivery and pick-up agents who will cancel deliveries and pickups whimsically.",1,2025-11-24 15:37:26,0,amazon used great service worst issue product impossible contact customer support help topic video mention chat get call button link simply exist neither app website rufus joke intended troubleshooting suspect partnered delivery pick agent cancel delivery pickup whimsically,38,2025-11
Amazon Shopping,gadariya happy,5,2025-11-24 15:24:43,1,gadariya happy,2,2025-11
Amazon Shopping,good,1,2025-11-24 15:23:18,0,good,1,2025-11
Amazon Shopping,very good,5,2025-11-24 15:20:29,1,good,1,2025-11
