app_name,review_text,rating,review_date
Amazon Shopping,nice app,5,2025-11-24 18:36:34
Amazon Shopping,"never use this app all the agents are scammer and if you will ever face a problem then know your problem won't be solved, bunches of scammer",1,2025-11-24 18:36:18
Amazon Shopping,Worst it doesn't work at crt time,1,2025-11-24 18:33:12
Amazon Shopping,wow,5,2025-11-24 18:32:44
Amazon Shopping,I hate you amazon,1,2025-11-24 18:21:52
Amazon Shopping,managing this app is getting worse,1,2025-11-24 18:19:02
Amazon Shopping,"“I’m seriously frustrated with this app. I got the wrong item twice, even in replacement. If sellers can’t send the correct product, fix the system or remove them.”",1,2025-11-24 18:06:44
Amazon Shopping,I like amazing,5,2025-11-24 18:05:13
Amazon Shopping,good,5,2025-11-24 18:01:02
Amazon Shopping,good,5,2025-11-24 18:00:52
Amazon Shopping,apart from hdfc bank they dont accept any other credit card i want to purchase nescafe sunrise 1kg but no option for icici bank credit card only hdfc is accepted on all products or amazon pay,1,2025-11-24 17:57:30
Amazon Shopping,ok,3,2025-11-24 17:53:13
Amazon Shopping,"Not given services properly, customer care also not reachable",1,2025-11-24 17:49:58
Amazon Shopping,good,5,2025-11-24 17:46:38
Amazon Shopping,"customer service is getting worse day by day, there is no option to connect with customer care, amazon is not useful now",1,2025-11-24 17:43:27
Amazon Shopping,not cash on delivery 😔😔,5,2025-11-24 17:39:21
Amazon Shopping,"I ordered twice from this app and both the times the delivery man was not picking the call, they give service number which keeps on showing busy . I would prefer other apps like flipkart which value their customers time",1,2025-11-24 17:34:44
Amazon Shopping,"Don't order the product using a prepaid method. Two weeks ago, I ordered one product, and after some time, the status suddenly showed that the product was delivered. I never received the product. When I reached out to Amazon customer support, they told me they were unable to help me with this issue. In this way, I lost my money to Amazon without getting anything in return.",1,2025-11-24 17:30:26
Amazon Shopping,fake platform. not refund long time maxim 20 days refund installation,1,2025-11-24 17:19:13
Amazon Shopping,improve,5,2025-11-24 17:18:01
Amazon Shopping,very bad service of amazon for regarding of product return no specialist team have the answer they cut the chat.what the use of prime membership,1,2025-11-24 17:05:40
Amazon Shopping,very very very bad product .alla are fake . cheap 😡,1,2025-11-24 17:05:19
Amazon Shopping,good shop quality nice,4,2025-11-24 16:52:36
Amazon Shopping,"Worst service. It showed delivery today, but it was not delivered and there are no updates.",1,2025-11-24 16:44:49
Amazon Shopping,This is a pathetic app. They don't give any option to contact customer service agent...... i have been waiting for my parcel since morning... wanted to contact delivery agent but they didn't provide his contact number. They just give tension to their customers nothing else.,2,2025-11-24 16:41:32
