source,review_title,review_text,rating,review_date_raw
Trustpilot,,"I come to India from US every year.  This year, I made several orders (some prepaid, some pay on delivery).  90% of the orders were cancelled before making a delivery.  I would get an email saying una... See more",,2025-11-14T12:36:23.000Z
Trustpilot,,Amazon India's service is the first. I ordered a small item 1 week ago. It was meant to arrive 3 days ago. However the delivery status kept saying unable to deliver or contact the buyer.by courier. It... See more,,2025-11-11T02:12:25.000Z
Trustpilot,,"Don't buy anything in Amazon, i have received item but not got refund which is used dell laptop. Already used by someone and it has movie also, keyboard space holding, not return back. So i return the... See more",,2025-10-28T20:15:14.000Z
Trustpilot,,"I placed an order for seven laptops from Amazon and receive them on third November 2025. Un inspecting them, I realized that one of the chargers was not working correctly for 1/7 laptops. I im... See more",,2025-11-19T11:13:15.000Z
Trustpilot,,I was register as a seller of amazon and set a advertising budget daily 50rupees but it was increase by 300 daily budget and my spend is 5000 and sale is only 4600 rupees only,,2025-11-20T06:49:29.000Z
Trustpilot,,Amazon is one of those big companies which doesn't care about it's customers. The customer service is pathetic and dismal. They don't intend to solve issues and are rude. They are gradually switching... See more,,2025-10-26T06:30:12.000Z
Trustpilot,,"I am a victim of a sophisticated ₹70,000 ""task scam"" where I was forced to buy Amazon Pay Vouchers. I reported this to Amazon immediately with all proof.
This 1-star review is not just for the s... See more",,2025-11-16T09:37:44.000Z
Trustpilot,,I ordered Haldirams orange burfi combo of 2s ×3pc with combo of Kaju Katli and Orange burfi ×2. After I opened package I surprised to see only 8 packets. 2  packets of Kaju Katli was missing. Despit... See more,,2025-10-20T02:33:43.000Z
Trustpilot,,"My husband and I, have been shopping on Amazon for quite a few years. Of late have been noticing a change in their customer service. They do not care and do not listen just argue incessantly. Politene... See more",,2025-10-28T10:01:16.000Z
Trustpilot,,"i HAVE OBSERVED THAT AMAZON.IN HAS STARTED LEVYING MARKETPLACE FEE. 
This is something new & is added towards the end, when the payment is to be made.
Why is being done? I am a Prime member & alr... See more",,2025-11-01T16:36:43.000Z
Trustpilot,,"Cheating the Indian Government and Indians

Since Amazon terminated our nine KDP accounts with Rupees 48000 in unpaid royalty and Amazon Associates account with Rupees 2300 unpaid, we started Invest... See more",,2025-10-20T02:50:51.000Z
Trustpilot,,"An item didn't arrive in December. Over the 8 months since I've contacted CS at least ten times and spoken to multiple agents per session.

Finally, they processed a partial refund - but the item ne... See more",,2025-08-21T11:40:45.000Z
Trustpilot,,"I should say AMAZON India is a third class e-commerce store especially AMAZON INDIA. Am not referring to international amazon stores. They are perfect on time delivery, no return/refund issues always... See more",,2025-09-09T06:50:53.000Z
Trustpilot,,"Dear i recently order from Amazom the item was Wakefit Orthopaedic Memory Foam Mattress(75 * 42 * 6inch) and the  Order ID: 408-6015139-6028303.
The mattress is good and the outer cover was have hole... See more",,2025-10-27T10:14:36.000Z
Trustpilot,,Extremely bad experience. Worst amongst the worst. Delivery does not happen on time. Orders gets cancelled randomly. Never trust their delivery dates if you need anything strictly on or before shown d... See more,,2025-09-30T08:52:40.000Z
Trustpilot,,I ordered boat earpods from Amazon.in and was scheduled to recieve them on 3rd September 2025 (my Birthday) instead I received  some baby magnetic toy. Asked for a replacement which was scheduled toda... See more,,2025-09-06T19:39:23.000Z
Trustpilot,,"Amazon India has been nothing but a disappointment. Overall, any category of item you buy is going to be bad quality. I know it is so tempting to get your friends and family something special from a g... See more",,2025-10-13T11:21:18.000Z
Trustpilot,,I have returned demage refrigerator and return picked at 1st April 2025 and I haven't refund my amount till 30 April 2025. It's 30 days long time I haven't got my valuable money and Amazon all time gi... See more,,2025-04-30T21:00:06.000Z
Trustpilot,,I used to enjoy shopping on Amazon India. The service has gone downhill in the last six months. The chat bot customer care is completely useless and unhelpful and it is almost impossible to speak to a... See more,,2025-10-01T01:13:42.000Z
Trustpilot,,"Worst experience with amazon.in Initially they were good, then the goodness has gone to their heads, but ofcourse, amazon's people have their heads in their arses. 
Most horrible customer servi... See more",,2025-10-13T14:17:17.000Z
Trustpilot,,Absolutely trash customer service. Did not pick up the return and yet their system shows in transit and refund pending. How can it be pending and refunded if it hasn't been picked up. For a mistake th... See more,,2025-07-21T14:49:10.000Z
Trustpilot,,"These people are crooks. I have used Amazon in UK which works seemlessly when you need to process a return with full refund with no questions asked if within the rwturna window period. 
Although the... See more",,2025-03-21T19:18:41.000Z
Trustpilot,,"Untrustworthy platform, taking full amount in advance and selling Old, Used branded product like Roland. No courtesy of replacing the product instead refunded the amount after 1 month. NO Value for Cu... See more",,2025-04-19T16:32:25.000Z
Trustpilot,,"Amazon cutomer care used to be a great earlier.
Like all companies it is useless now.
I have written instructions to not deliver product at night still they deliberately come at same time.
No cal... See more",,2025-07-22T18:17:48.000Z
Trustpilot,,"I ordered a pair of Skechers shoes (₹12,499) from Amazon India. After receiving the product, I returned it through the official Amazon return process. The pickup and return were comple... See more",,2025-09-20T07:39:14.000Z
Trustpilot,,"I returned product but not getting refund of my money..

As a prime member from my years still not getting satisfied answer.. break my trust of many years..

I'll quit in amazon app.. & also c... See more",,2025-06-02T11:01:24.000Z
Trustpilot,,Ordinary utility items buying from amazon india is ok but not expensive items like TV. I paid for VU tv and was delivered but for installation none bothered and customer service phones appear bogus. B... See more,,2025-07-19T14:29:22.000Z
Trustpilot,,"This is the 2nd time it’s happening to me. I have received notification as delivered for 2 items today but none were delivered. 

I have lately heard from more people the same complaint.

I no lon... See more",,2025-10-26T13:40:24.000Z
Trustpilot,,Poor customer service. Don't buy any items from amazon. They have there own condition for return items. If it is non replacement items they will take any responsibility. So don't purchase any items fr... See more,,2025-08-03T16:26:13.000Z
Trustpilot,,Horrible customer service. Even though order not delivered the delivery marked it as delivered and now the customer service are not doing anything. Worst services and no help. Stay away from Amazon In... See more,,2025-09-07T15:27:42.000Z
Trustpilot,,"The return services is worst now a days.... the agency DELIVHRY is so unethical, they themselves cancalles the pickup without information.... the item is waiting for return since a month...",,2025-09-24T17:59:42.000Z
Trustpilot,,"Amazon's service is absolutely rubbish, third class. I have received Ghaan Express twice. I will not buy anything again.",,2025-10-28T19:00:40.000Z
Trustpilot,,"The item was never delivered, and the customer support experience was extremely disappointing. I interacted with multiple representatives, but none were helpful — it almost felt like they were avoidin... See more",,2025-10-28T04:55:36.000Z
Trustpilot,,third class company in this world.....teh day Jeff Bezos left....everything fell off......amazon Uae is the best company with 95% + positive reviews where as amazon india is below 50%.........,,2025-10-17T10:20:40.000Z
Trustpilot,,"very bad service and they cheat buyers, you have to keep tracking your order and the app wil show delivered and the item or products are undelivered we are royally cheated by them.",,2025-09-05T12:32:19.000Z
Trustpilot,,"Sometimes good , sometimes shit.",,2025-11-18T16:33:52.000Z
Trustpilot,,"I made an order for 
TP-Link Deco X10(3-Pack) AX1500Mbps Whole Home Mesh WiFi 6 System, AI-Driven, Coverage up to 5600ft², WiFi Router, Extender Booster, Gaming & 4K, Easy Setup, Alexa & Google... See more",,2025-11-14T08:07:24.000Z
Trustpilot,,"Amazon is third class process for online shopping, one ladies dress ordered but unfortunately faced size issue. 4 To 5 times pick up  raized but Amazon pick up and customer service not response.Later... See more",,2025-07-10T20:45:36.000Z
Trustpilot,,Recieved a wrong model. And the customer service team is ill mannered. Three times they ended my call without giving a proper reply. Very bad service.,,2025-11-11T16:24:31.000Z
Trustpilot,,"I was promised a refund within four hours, yet it has now been over two weeks and I still haven’t received it. The issue was supposedly escalated to a manager, but even then, no refund was... See more",,2025-11-11T20:30:33.000Z
Trustpilot,,"I ordered OnePlus Nord Buds 2r True Wireless Earbuds, but Amazon delivered a cheap Jio keypad phone instead. I raised the return request immediately, but Amazon denied the return unfairly. This is c... See more",,2025-10-01T20:38:58.000Z
Trustpilot,,"Dear Amazon Team,

I am extremely disappointed and frustrated with your service. This has been one of the worst experiences I’ve ever had with any company. Despite raising multiple... See more",,2025-11-13T18:17:08.000Z
Trustpilot,,"Amazon India services have been deteriorating consistently.
Customers services is just a name , there is really no support whatsoever 
had issues with many orders recently and lost lots of money.... See more",,2025-06-09T11:23:00.000Z
Trustpilot,,Fraud Fraud Fraud. 1st Delivery boy gave missed call or call n say I can't deliver the product than within 10 mins product shows delivered. than you have to call customer care they issue refund and th... See more,,2025-10-06T03:51:32.000Z
Trustpilot,,"Used to be good but degenerated hugely over the last few years .
It’s akin to a fraud company now . I have had multiple (at least 8 times) cases int he last 8-10 months where my order showed deliv... See more",,2025-08-17T06:25:00.000Z
Trustpilot,,Worst delivery service and never solved issues. Delvery partners are so rude that they call once and take decision on own to return package to seller without even attempting one more time and or resch... See more,,2025-10-14T14:12:12.000Z
Trustpilot,,"money more product mafias are there here Don't buy products because cheat delivery peoples are more in this field so you will lost  your hard earned money

You will shut down soon because you wil... See more",,2025-11-02T07:59:25.000Z
Trustpilot,,Their Prime membership is a joke in terms of delivery priority. They mostly delivery prime items after 10:00 PM in night risking customer safety. While non prime member get same order delivered next d... See more,,2025-05-04T19:08:32.000Z
Trustpilot,,Chappal manga tha size chota aaya aur quality bhi kharab return ka process itna complicated hai 10 baar photo bhejni padi koi le ke bhi nahi aaya delivery wala paise waste gaye,,2025-08-28T16:11:36.000Z
Trustpilot,,Extremely disappointed with both Amazon and ICICI Bank. I purchased a phone using my Amazon Pay ICICI Credit Card only because the offer promised 5% cashback in Amazon Pay balance. It has been ove... See more,,2025-11-19T14:31:20.000Z
Trustpilot,I ordered a set of 3 bags and only 1…,"I ordered a set of 3 bags and only 1 was delivered. Now, I don't know where to complain, as there is only Delivery Feedback on the website, but no one is replying. I send a negative feedback form on Amazon and they refused to publish it because it does not describe the product, as per email reply from Amazon.How do I get what I ordered for.Site: Amazon.co.inSold By: RetailEZ Pvt LtdDescription of Product: Kamiliant by American Tourister Harrier 3-Piece Luggage Set - 56, 68 & 78 cm Polypropylene Hard-Sided Spinner Suitcases with 4 Wheels (Coral Blue)",,2025-11-24T16:51:22.000Z
Trustpilot,Good experience,Good experience,,2025-11-23T19:23:51.000Z
Trustpilot,I was register as a seller of amazon…,I was register as a seller of amazon and set a advertising budget daily 50rupees but it was increase by 300 daily budget and my spend is 5000 and sale is only 4600 rupees only,,2025-11-20T06:49:29.000Z
Trustpilot,Extremely disappointed with both Amazon…,"Extremely disappointed with both Amazon and ICICI Bank. I purchased a phone using my Amazon Pay ICICI Credit Card only because the offer promised 5% cashback in Amazon Pay balance. It has been over two months and I still haven’t received anything.I have contacted customer service several times, but instead of giving a solution, they keep making excuses and pushing the issue around. This constant follow-up without any resolution has caused unnecessary stress and mental harassment.Such misleading offers and poor customer support clearly show how unreliable Amazon and ICICI Bank have become. I strongly warn others not to use the Amazon Pay ICICI Credit Card, because you will not get the benefits they promise.",,2025-11-19T14:31:20.000Z
Trustpilot,"Denied service, replacement despite fault acceptace.","I placed an order for seven laptops from Amazon and receive them on third November 2025. Un inspecting them, I realized that one of the chargers was not working correctly for 1/7 laptops. I immediately reached a request.Usually, I get a replacement option, but in this scenario, the only available option was a service request. An engineer was scheduled to visit on fifth of November. The engineer did not visit on the fifth or sixth. On seventh, I raised another complain that there was no visit. The team assured me that this is a technical glitch and that the engineer will visit soon, but it is not reflecting on their system.Finally, I called up on 17th of Nov. The Executive said that I will call you post 8 PM after talking to the concerned department. She called up at 8:35 PM and informed that there is no resolution yet and she will call tomorrow. No call on 18th at all.Eventually, on 19th I called, got transferred three times and eventually Snigdha informed me that ""You are too late. The service window has closed. You should have called earlier if the engineer did not visit. We can't do anything!""Amazon is pathetic!",,2025-11-19T11:13:15.000Z
Trustpilot,Sometimes good,"Sometimes good , sometimes shit.",,2025-11-18T16:33:52.000Z
Trustpilot,"Victim of ₹70,000 Scam, Then Treated Horribly by Amazon Support.","I am a victim of a sophisticated ₹70,000 ""task scam"" where I was forced to buy Amazon Pay Vouchers. I reported this to Amazon immediately with all proof.This 1-star review is not just for the scam; it is for the shocking, disrespectful, and misleading support I received from Amazon's own team.Amazon's support has been a nightmare:• False Promises: I was repeatedly told I would ""surely"" get my refund. One agent ""assured"" me they would call back with the refund. This was a lie.• Rude & Dismissive Staff: One agent was rude. Another put me on hold for 15 minutes and hung up.• Wasted Time: Today, I was put on a 17-minute hold, only to be abruptly told ""no refund,"" contradicting all previous promises.I have been lied to, had my time wasted, and been treated with zero respect after losing ₹70,000. This is a complete failure of customer service. I am being victimized twice, first by the scammer and now by Amazon's support team.",,2025-11-16T09:37:44.000Z
Trustpilot,I come to India from US every year,"I come to India from US every year.  This year, I made several orders (some prepaid, some pay on delivery).  90% of the orders were cancelled before making a delivery.  I would get an email saying unable to deliver.  No attempts were made to deliver.  I left explicit delivery instructions with mobile #.  They use ""delivery agents"" and blame them for no deliveries.  Attempting to get refund for prepaid was an extremely difficult and required waiting 7-10 business days.  Amazon.in needs to clean up and learn from USA.  Will avoid at all cost.",,2025-11-14T12:36:23.000Z
